pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description	"{""status"": ""ok"", ""message"": ""no clusters found"", ""data"": [], ""count"": 0}"
EOG092C00Q9	Ribosomal protein L19/L19e	4751	402676	Schizosaccharomyces japonicus yFS275	402676:00033d	B6JWI9	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	413071	Trichoderma virens Gv29-8	413071:000184	G9MLJ6	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459:000818	E3JYR4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459:00056b	E3K1J3	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	425011	Aspergillus niger CBS 513.88	425011:00266b	A2QKK5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	425011	Aspergillus niger CBS 513.88	425011:001a8f	A2QKK6	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	425265	Malassezia globosa CBS 7966	425265:000ab1	A8PR61	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	425265	Malassezia globosa CBS 7966	425265:000256	A8Q7Z9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	426418	Pyrenophora tritici-repentis Pt-1C-BFP	426418:001df8	B2WNI9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	426428	Fusarium oxysporum f. sp. lycopersici 4287	426428:002fb1	J9MRM3	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	426428	Fusarium oxysporum f. sp. lycopersici 4287	426428:0007f5	J9MRM4	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	431241	Trichoderma reesei QM6a	431241:00179b	G0RPV3	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	431241	Trichoderma reesei QM6a	431241:00008d	G0RPV4	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	436907	Vanderwaltozyma polyspora DSM 70294	436907:0005d2	A7TNX9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	436907	Vanderwaltozyma polyspora DSM 70294	436907:000122	A7TL61	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	441959	Talaromyces stipitatus ATCC 10500	441959:0007af	B8M1C9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	441960	Talaromyces marneffei ATCC 18224	441960:000670	B6Q8Y9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	443226	Coccidioides posadasii str. Silveira	443226:0018a1	E9DDG7	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	443226	Coccidioides posadasii str. Silveira	443226:000532	E9DDG8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	447093	Histoplasma capsulatum G186AR	447093:0004a4	C0NMA2	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	451804	Aspergillus fumigatus A1163	451804:000e09	B0XW90	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	451804	Aspergillus fumigatus A1163	451804:00041e	B0XW91	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	452589	Trichoderma atroviride IMI 206040	452589:0005e4	G9P2X8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	482561	Paracoccidioides brasiliensis Pb03	482561:000061	C0SAE1	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	483514	Schizosaccharomyces octosporus yFS286	483514:000aa6	S9R951	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	483514	Schizosaccharomyces octosporus yFS286	483514:00047b	S9PRN3	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	483514	Schizosaccharomyces octosporus yFS286	483514:00017b	S9PTQ4	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	486041	Laccaria bicolor S238N-H82	486041:0037f8	B0CWL4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	486041	Laccaria bicolor S238N-H82	486041:001054	B0E2W5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	486041	Laccaria bicolor S238N-H82	486041:000945	B0DCH5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	486041	Laccaria bicolor S238N-H82	486041:0006df	B0DXP7	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	498257	Verticillium dahliae VdLs.17	498257:001afb	G2X959	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	498257	Verticillium dahliae VdLs.17	498257:0001ae	G2X958	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	500485	Penicillium rubens Wisconsin 54-1255	500485:0029f4	B6H2G6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	500485	Penicillium rubens Wisconsin 54-1255	500485:00058e	B6H2C2	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	502779	Paracoccidioides lutzii Pb01	502779:00072b	C1HCK7	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	502779	Paracoccidioides lutzii Pb01	502779:000245	C1HCK6	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	502780	Paracoccidioides brasiliensis Pb18	502780:0013b7	C1GDC9	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	502780	Paracoccidioides brasiliensis Pb18	502780:0002f7	C1GDC8	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510516	Aspergillus oryzae RIB40	510516:002eb8	Q2TZD2	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510516	Aspergillus oryzae RIB40	510516:0006c5	Q2TZD3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510951	Neurospora tetrasperma FGSC 2508	510951:0010b3	F8MSH8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510951	Neurospora tetrasperma FGSC 2508	510951:00012a	F8MSH9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510952	Neurospora tetrasperma FGSC 2509	510952:00145a	G4UX68	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	510952	Neurospora tetrasperma FGSC 2509	510952:00014d	G4UX67	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	515849	Podospora anserina S mat+	515849:00253c	B2ADB7	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	515849	Podospora anserina S mat+	515849:0004c1	B2ADB8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	526221	Verticillium alfalfae VaMs.102	526221:001c2e	C9SQ16	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	526221	Verticillium alfalfae VaMs.102	526221:000144	C9SQ15	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	535722	Microsporum gypseum CBS 118893	535722:000bab	E5R2E4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	535722	Microsporum gypseum CBS 118893	535722:000230	E5R2E5	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	544711	Histoplasma capsulatum H88	544711:0005aa	F0U9C0	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	544712	Histoplasma capsulatum H143	544712:0004d0	C6HTD2	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	545124	Saccharomyces cerevisiae AWRI1631	545124:0009c9	B5VIE0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	545124	Saccharomyces cerevisiae AWRI1631	545124:000981	B5VID9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	546991	Blumeria graminis f. sp. hordei DH14	546991:00192b	N1JIK0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	546991	Blumeria graminis f. sp. hordei DH14	546991:00024e	N1JEW8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	554155	Arthroderma otae CBS 113480	554155:001b80	C5FCF8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	554155	Arthroderma otae CBS 113480	554155:0001eb	C5FCF9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	554373	Moniliophthora perniciosa FA553	554373:0020ef	E2LSF0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559292	Saccharomyces cerevisiae S288c	559292:000d5c	RPL19B	L23	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559292	Saccharomyces cerevisiae S288c	559292:000d5b	RPL19A	L23	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559292	Saccharomyces cerevisiae S288c	559292:000595	GCN1	Translational activator GCN1	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559295	Lachancea thermotolerans CBS 6340	559295:0013c1	C5DHR1	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559295	Lachancea thermotolerans CBS 6340	559295:00022f	C5DIQ6	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559297	Blastomyces dermatitidis ER-3	559297:00170a	C5G992	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559297	Blastomyces dermatitidis ER-3	559297:000440	C5G991	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559298	Blastomyces gilchristii SLH14081	559298:0023d4	C5K033	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559298	Blastomyces gilchristii SLH14081	559298:0005ab	C5K032	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559304	Millerozyma farinosa CBS 7064	559304:000e12	Piso0_001678	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559304	Millerozyma farinosa CBS 7064	559304:0009f7	G8YNT3	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559304	Millerozyma farinosa CBS 7064	559304:0008d8	G8YU57	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559305	Trichophyton rubrum CBS 118892	559305:001700	F2SD19	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559305	Trichophyton rubrum CBS 118892	559305:000485	F2SD20	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559307	Zygosaccharomyces rouxii CBS 732	559307:0010e4	C5E1A6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559307	Zygosaccharomyces rouxii CBS 732	559307:000226	C5E0I3	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559882	Trichophyton equinum CBS 127.97	559882:001258	F2PP35	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	559882	Trichophyton equinum CBS 127.97	559882:0003a0	F2PP36	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	561896	Postia placenta Mad-698-R	561896:001f28	B8P1A7	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	561896	Postia placenta Mad-698-R	561896:001424	B8P929	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	561896	Postia placenta Mad-698-R	561896:0013dd	B8P1A6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	561896	Postia placenta Mad-698-R	561896:00034f	B8P2X9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	566037	Saccharomycetaceae sp. Ashbya aceri	566037:000d88	R9XIE0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	573729	Myceliophthora thermophila ATCC 42464	573729:0019b4	G2QGI0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	573729	Myceliophthora thermophila ATCC 42464	573729:001790	G2QGI1	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	573826	Candida dubliniensis CD36	573826:0009ec	B9WCY5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	573826	Candida dubliniensis CD36	573826:000308	B9WE42	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	574961	Saccharomyces cerevisiae JAY291	574961:000d45	C7GWZ9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578454	Candida parapsilosis CDC317	578454:00168f	G8BK24	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578454	Candida parapsilosis CDC317	578454:000255	G8BAH4	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578455	Thielavia terrestris NRRL 8126	578455:00089b	G2QW03	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578455	Thielavia terrestris NRRL 8126	578455:0001e0	G2QW04	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578457	Serpula lacrymans var. lacrymans S7.9	578457:00255c	F8NR09	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578457	Serpula lacrymans var. lacrymans S7.9	578457:00037c	F8PAZ5	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578458	Schizophyllum commune H4-8	578458:000b7d	D8Q662	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578458	Schizophyllum commune H4-8	578458:0001d1	D8QKF9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578461	Nosema bombycis CQ1	578461:00091b	R0KQY2	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578461	Nosema bombycis CQ1	578461:000851	R0M4V6	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	578461	Nosema bombycis CQ1	578461:00033c	R0MIJ5	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	590646	Candida tenuis ATCC 10573	590646:000a49	G3B3A3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	590646	Candida tenuis ATCC 10573	590646:000613	G3B3U3	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	597362	Agaricus bisporus var. burnettii JB137-S8	597362:0004f2	K5X229	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	619300	Spathaspora passalidarum NRRL Y-27907	619300:000f16	G3ALT0	Armadillo-like helical	NA
