# Cytoplasmic ribosome orthologs from core fungi of interest
# Core factors only
# Component names from A new system for naming ribosomal proteins Ban et al 2014
# orthologs from PANTHER.db (YEAST, SCHPO, NEUCR, CRYNJ), others from fungidb.
# YEAST = S. cerevisiae S288C, SCHPO = S. pombe 972h-, NEUCR = N. crassa OR74A
# CRYNJ = C. deneoformans JEC21, CRYNH = C. neoformans H99, CANAL = C. albicans SC5314
# E. Wallace ewjwallace@gmail.com, 30 July 2018 
# and Guilhem Janbon guilhem.janbon@pasteur.fr, 31 Oct 2018
#
SUBUNIT	COMPONENT	SPECIES	GENE_ID	UNIPROT_ID	ENTREZ_ID
S	uS14	CRYNH	CNAG_02811	J9VHL5	
S	uS14	NEUCR	NCU03738	Q9C2P2	3877589
S	uS14	SCHPO	SPBC1685.09	O74329	2539643
S	uS14	YEAST	YDL061C	P41058	851498
S	uS14	YEAST	YLR388W	P41057	851104
S	uS15	CANAL	C6_00650C_A	A0A1D8PPE0	
S	uS15	CRYNJ	CND02790	Q5KIJ0	3257008
S	uS15	CRYNH	CNAG_01153	J9VKK2	
S	uS15	NEUCR	NCU03038	Q7SDH0	3880192
S	uS15	SCHPO	SPAC6F6.07c	P28189	2542108
S	uS15	YEAST	YDR064W	P05756	851636
S	uS17	CANAL	C5_01540W_A	A0A1D8PN83	
S	uS17	CRYNJ	CNA06500	Q5KNH2	3253949
S	uS17	CRYNH	CNAG_00672	J9VHE4	
S	uS17	NEUCR	NCU03102	Q7SFZ2	3881110
S	uS17	SCHPO	SPAC31G5.03	P0CT73	2543120
S	uS17	SCHPO	SPAC144.11	P0CT74	2542904
S	uS17	YEAST	YBR048W	P0CX48	852337
S	uS17	YEAST	YDR025W	P0CX47	851589
S	uS19	CANAL	CR_07760W_A	A0A1D8PTL2	
S	uS19	CRYNJ	CNF03840	Q5KEX8	3258082
S	uS19	CRYNH	CNAG_06633	J9VNW6	
S	uS19	NEUCR	NCU00971	Q7SGF1	3881300
S	uS19	SCHPO	SPCC1393.03	O94715	2538892
S	uS19	SCHPO	SPAC1071.07c	Q9UTQ6	2542912
S	uS19	YEAST	YOL040C	Q01855	854117
S	eS1	CANAL	C1_03090W_A	P40910	
S	eS1	CRYNJ	CNB04880	P0CQ58	3255847
S	eS1	CRYNH	CNAG_04004	J9VLP5	
S	eS1	NEUCR	NCU01452	Q871N9	3872112
S	eS1	SCHPO	SPAC22H12.04c	O94438	2541737
S	eS1	SCHPO	SPAC13G6.02c	Q09781	2542817
S	eS1	YEAST	YML063W	P23248	854939
S	eS1	YEAST	YLR441C	P33442	851162
S	eS4	CANAL	C2_10620W_A	Q5A5Q8	
