# dvsaATG_highdiffw_enoughRNA_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - difference, aATG.scorekw - d1.scorekw > 0.1
#   - in top 50% by RNA abundance
#
# Gene: systematic gene name
# aATG.scorekw: annotated AUG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream AUG score against wide -10 Kozak consensus sequence
# d1.posATG: position (in nt) of 1st downstream AUG compared to annotated AUG.
# d1.frame: downstream AUG is In or Out of reading frame with annotated.
#
# Edward Wallace, Apr 2019
Gene	aATG.scorekw	d1.scorekw	d1.posATG	d1.frame
CNA06000	0.796	0.93	129	In
CNB05270	0.81	0.944	79	Out
CNC04270	0.776	0.91	10	Out
CND06330	0.767	0.901	80	Out
CNN02250	0.773	0.906	9	In
CNI02540	0.741	0.873	33	In
CNM00130	0.747	0.878	120	In
CND02710	0.729	0.859	9	In
CNE04610	0.749	0.879	197	Out
CNC03925	0.811	0.941	140	Out
CNE02660	0.808	0.937	51	In
CNH00360	0.767	0.896	147	In
CNI00160	0.645	0.773	62	Out
CNK00690	0.781	0.909	136	Out
CNA03210	0.776	0.903	51	In
CNJ03200	0.797	0.924	148	Out
CNC05065	0.8	0.927	37	Out
CNB04360	0.688	0.814	21	In
CND01860	0.772	0.896	25	Out
CNE02400	0.74	0.864	111	In
CNB04430	0.711	0.835	63	In
CNI02680	0.75	0.874	55	Out
CNL04750	0.767	0.888	188	Out
CNK01150	0.768	0.89	77	Out
CNC00845	0.71	0.831	25	Out
CNM01000	0.814	0.933	77	Out
CNB04460	0.78	0.899	30	In
CNC04680	0.767	0.886	102	In
CNB01540	0.709	0.827	58	Out
CNJ01900	0.775	0.893	105	In
CNF00905	0.851	0.969	175	Out
CNB01360	0.837	0.954	150	In
CNN00870	0.763	0.879	103	Out
CND04420	0.722	0.838	30	In
CNI02240	0.793	0.908	153	In
CNE00800	0.775	0.89	49	Out
CNA03250	0.75	0.864	46	Out
CNE04560	0.756	0.87	15	In
CNG00590	0.812	0.925	189	In
CNC00780	0.775	0.887	18	In
CNI01490	0.769	0.88	63	In
CNC02405	0.846	0.957	55	Out
CNE00575	0.766	0.877	202	Out
CNA04340	0.782	0.893	19	Out
CNA00020	0.786	0.897	61	Out
CNF02990	0.843	0.952	173	Out
CNA03360	0.769	0.878	184	Out
CNG01990	0.717	0.825	78	In
CNK01350	0.717	0.825	133	Out
CNC01780	0.829	0.937	221	Out
CNA06530	0.748	0.855	13	Out
CNG04090	0.718	0.825	185	Out
CNC00705	0.757	0.864	91	Out
CND03560	0.796	0.902	63	In
CND01080	0.775	0.88	129	In
CNH01580	0.71	0.815	54	In
CND02240	0.733	0.838	205	Out
CNC01630	0.771	0.875	79	Out
CNE01940	0.842	0.946	192	In
CNL06560	0.707	0.81	139	Out
CNI00090	0.816	0.919	41	Out
CND01340	0.851	0.952	126	In
CNN01140	0.786	0.887	64	Out
CNB05500	0.747	0.847	78	In
CNK03185	0.772	0.872	305	Out
