Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_EA.Contig33.Fgenesh_Neurospora.154.final_new_mrna	0.009	No mitochondrial presequence	18(MPP)	0.444		18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.173.final_new_mrna	0.006	No mitochondrial presequence	53(MPP)	0.038	43-47	6-15-low	-	-	-	-	-	-	23-28	-	-	22-27	-	-	-	-	
HISTO_FE.Contig19.eannot.1807.final_new_mrna	0.005	No mitochondrial presequence	19(MPP)	0.263	44-48	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.genewise.60.final_new_mrna	0.074	No mitochondrial presequence	59(MPP)	-0.034	3-7,9-13,31-35	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	9-14	-	
HISTO_GX.Contig297.Fgenesh_histo.100.final_new_mrna	0.010	No mitochondrial presequence	14(MPP)	-0.071	11-15	14-23-high	-	-	-	-	-	-	17-22	-	-	16-21	-	-	-	-	
HISTO_BX.Contig20.Fgenesh_Aspergillus.5.final_new_mrna	0.226	No mitochondrial presequence	21(MPP), 22(Icp55)	0.095	44-48	9-18-high	-	-	-	-	-	-	8-13	-	-	7-12	-	-	-	-	
HISTO_IH.Contig64.fgenesh_plus.2.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	-0.286		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.125.final_new_mrna	0.046	No mitochondrial presequence	21(MPP)	0.048	1-5	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.167.final_new_mrna	0.011	No mitochondrial presequence	15(MPP)	0.267		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.fgenesh_plus.13.final_new_mrna	0.035	No mitochondrial presequence	48(MPP)	0.062		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.eannot.1449.final_new_mrna	0.075	No mitochondrial presequence	27(MPP)	0.074		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.47.final_new_mrna	0.105	No mitochondrial presequence	11(MPP)	0.273		1-13-low	11-16	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.eannot.1438.final_new_mrna	0.103	No mitochondrial presequence	16(MPP)	0.000	13-17	4-13-low	15-20	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_histo.12.final_new_mrna	0.009	No mitochondrial presequence	51(MPP), 52(Icp55)	0.039	48-52	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.126.final_new_mrna	0.030	No mitochondrial presequence	57(MPP)	0.053	31-35,40-44,83-87,91-95	8-17-low	-	-	-	-	-	-	7-12	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.72.final_new_mrna	0.000	No mitochondrial presequence	31(MPP)	-0.032		10-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KK.Contig134.eannot.1130.final_new_mrna	0.000	No mitochondrial presequence	6(MPP)	0.333		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AS.Contig189.Fgenesh_Aspergillus.23.final_new_mrna	0.031	No mitochondrial presequence	19(MPP)	0.105		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BX.Contig20.eannot.1078.final_new_mrna	0.000	No mitochondrial presequence	76(MPP)	-0.039	85-89	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.316.final_new_mrna	0.000	No mitochondrial presequence	88(MPP)	-0.011	12-16	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1784.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	0.038		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.22.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.156		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.94.final_new_mrna	0.000	No mitochondrial presequence	33(MPP), 34(Icp55)	-0.152	30-34,59-63	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.261.final_new_mrna	0.003	No mitochondrial presequence	30(MPP)	0.000	50-54	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363-snap.47.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.026		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.fgenesh_plus.33.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	0.143	78-82	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Aspergillus.17.final_new_mrna	0.175	No mitochondrial presequence	32(MPP), 33(Icp55)	0.062		12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.eannot.1258.final_new_mrna	0.000	No mitochondrial presequence	21(MPP)	-0.048	36-40,56-60,59-63	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.143.final_new_mrna	0.014	No mitochondrial presequence	29(MPP)	0.034	66-70	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.81.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LL.Contig1.Fgenesh_Aspergillus.5.final_new_mrna	0.007	No mitochondrial presequence	32(MPP)	0.125	2-6,24-28	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.90.final_new_mrna	0.010	No mitochondrial presequence	41(MPP)	0.146	73-77	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.85.final_new_mrna	0.050	No mitochondrial presequence	19(MPP)	0.158	1-5	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.eannot.1369.final_new_mrna	0.010	No mitochondrial presequence	53(MPP)	-0.019		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65-snap.137.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	-0.031	71-75	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.110.final_new_mrna	0.007	No mitochondrial presequence	39(MPP)	0.051		15-24-low	-	-	-	-	-	-	17-22	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Aspergillus.30.final_new_mrna	0.008	No mitochondrial presequence	22(MPP)	0.136	2-6,32-36	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.311.final_new_mrna	0.000	No mitochondrial presequence	44(MPP)	0.000		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2011.final_new_mrna	0.026	No mitochondrial presequence	30(MPP)	0.100		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.eannot.1170.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	0.043		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.eannot.1341.final_new_mrna	0.099	No mitochondrial presequence	11(MPP)	0.273	44-48	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.fgenesh_plus.47.final_new_mrna	0.041	No mitochondrial presequence	25(MPP)	0.040	1-5,14-18	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.5.final_new_mrna	0.714	Possessing mitochondrial presequence	13(MPP)	0.231	70-74	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_Aspergillus.63.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	-0.077	25-29,73-77	17-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Aspergillus.133.final_new_mrna	0.015	No mitochondrial presequence	48(MPP)	0.042	69-73	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459-snap.122.final_new_mrna	0.004	No mitochondrial presequence	14(MPP)	-0.071	11-15,44-48	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.eannot.1095.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.000	40-44,73-77	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig290.Fgenesh_Aspergillus.6.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	0.100	7-11,86-90	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_histo.46.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	-0.071		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_Aspergillus.37.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.093		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.eannot.1296.final_new_mrna	0.000	No mitochondrial presequence	9(MPP), 10(Icp55)	0.111		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.18.final_new_mrna	0.000	No mitochondrial presequence	53(MPP)	0.000	94-98	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.24.final_new_mrna	0.003	No mitochondrial presequence	12(MPP)	0.083	20-24	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1668.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.167	72-76,75-79,95-99	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig571f.Fgenesh_Aspergillus.48.final_new_mrna	0.003	No mitochondrial presequence	23(MPP)	0.043		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.eannot.1522.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	0.053	51-55	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.eannot.1229.final_new_mrna	0.004	No mitochondrial presequence	46(MPP)	0.109	40-44	12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.65.final_new_mrna	0.724	Possessing mitochondrial presequence	13(MPP)	0.154	71-75	10-20-high	-	-	-	-	-	-	-	-	9-14	-	-	-	-	-	
HISTO_JG.Contig207.eannot.1373.final_new_mrna	0.286	No mitochondrial presequence	15(MPP)	0.267	6-10,58-62,76-80	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.58.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	0.167		10-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Neurospora.135.final_new_mrna	0.455	Possessing mitochondrial presequence	13(MPP)	0.154		10-19-low	-	-	-	-	-	-	-	-	-	-	14-19	-	-	-	
HISTO_ZT.Contig1129.eannot.1088.final_new_mrna	0.684	Possessing mitochondrial presequence	7(MPP)	0.143	4-8,8-12,21-25,33-37	19-28-high	-	16-21	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_Aspergillus.96.final_new_mrna	0.058	No mitochondrial presequence	48(MPP)	0.062	2-6,14-18	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	14-19	-	
HISTO_AAN.Contig10.Fgenesh_Aspergillus.5.final_new_mrna	0.004	No mitochondrial presequence	30(MPP)	-0.067	28-32	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Aspergillus.101.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	-0.036	67-71	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.51.final_new_mrna	0.021	No mitochondrial presequence	10(MPP)	0.100	27-31	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LAJ.Contig1.fgenesh_plus.1.final_new_mrna	0.025	No mitochondrial presequence	47(MPP)	0.064	45-49	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174-snap.119.final_new_mrna	0.003	No mitochondrial presequence	54(MPP), 55(Icp55)	0.130		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.Fgenesh_histo.185.final_new_mrna	0.031	No mitochondrial presequence	56(MPP)	0.125	75-79	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47-snap.22.final_new_mrna	0.006	No mitochondrial presequence	54(MPP)	-0.056	68-72,71-75	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_histo.27.final_new_mrna	0.000	No mitochondrial presequence	91(MPP)	-0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.Fgenesh_Aspergillus.9.final_new_mrna	0.020	No mitochondrial presequence	78(MPP)	0.026	24-28,75-79	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.Fgenesh_Aspergillus.23.final_new_mrna	0.000	No mitochondrial presequence	7(MPP)	-0.143	22-26,47-51,64-68	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CY.Contig28.Fgenesh_Aspergillus.1.final_new_mrna	0.161	No mitochondrial presequence	20(MPP)	0.050		10-21-high	-	-	-	-	-	17-22	-	-	-	16-21	-	-	-	-	
HISTO_ZU.Contig65.eannot.2090.final_new_mrna	0.711	Possessing mitochondrial presequence	9(MPP), 10(Icp55)	0.111	6-10,96-100	6-17-high	-	-	-	-	-	-	-	-	-	-	-	5-10	6-11	-	
HISTO_GY.Contig471.Fgenesh_Aspergillus.44.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	-0.300		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.90.final_new_mrna	0.000	No mitochondrial presequence	11(MPP)	0.364		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.164.final_new_mrna	0.000	No mitochondrial presequence	67(MPP)	-0.015		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig2f.Fgenesh_histo.14.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	0.128	24-28	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.122.final_new_mrna	0.000	No mitochondrial presequence	53(MPP)	0.019		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.115.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	0.000	63-67	17-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.eannot.1320.final_new_mrna	0.000	No mitochondrial presequence	82(MPP)	-0.098	79-83	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.69.final_new_mrna	0.000	No mitochondrial presequence	84(MPP), 85(Icp55)	-0.167		6-16-low	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_Neurospora.54.final_new_mrna	0.003	No mitochondrial presequence	36(MPP)	0.056		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_Neurospora.32.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	-0.024		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.272.final_new_mrna	0.027	No mitochondrial presequence	41(MPP)	0.171	1-5	1-10-high	-	-	-	-	-	-	-	-	20-25	-	-	-	-	-	
HISTO_GL.Contig285.Fgenesh_histo.27.final_new_mrna	0.000	No mitochondrial presequence	17(MPP)	0.118		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1141.Fgenesh_Aspergillus.20.final_new_mrna	0.981	Possessing mitochondrial presequence	22(MPP), 23(Icp55)	0.227		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Aspergillus.191.final_new_mrna	0.000	No mitochondrial presequence	62(MPP)	-0.113		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.eannot.1124.final_new_mrna	0.045	No mitochondrial presequence	25(MPP)	0.000		19-28-low	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
HISTO_JG.Contig207.fgenesh_plus.67.final_new_mrna	0.004	No mitochondrial presequence	46(MPP)	0.087		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.fgenesh_plus.24.final_new_mrna	0.000	No mitochondrial presequence	32(MPP)	0.031		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_histo.33.final_new_mrna	0.000	No mitochondrial presequence	22(MPP)	0.045		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1822.final_new_mrna	0.003	No mitochondrial presequence	64(MPP)	0.000		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Neurospora.84.final_new_mrna	0.028	No mitochondrial presequence	44(MPP)	0.068	9-13,53-57,73-77	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_Neurospora.12.final_new_mrna	0.095	No mitochondrial presequence	76(MPP)	0.039	82-86	2-11-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
HISTO_AAN.Contig8.genewise.1.final_new_mrna	0.073	No mitochondrial presequence	20(MPP)	-0.050		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317-snap.135.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	0.018	15-19,48-52	7-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.eannot.1232.final_new_mrna	0.016	No mitochondrial presequence	41(MPP)	0.000	1-5,55-59,59-63	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.eannot.1290.final_new_mrna	0.127	No mitochondrial presequence	40(MPP), 41(Icp55)	0.050		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	25-30	
HISTO_DF.Contig537.Fgenesh_Neurospora.20.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	0.024	6-10,27-31,47-51,59-63	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190-snap.70.final_new_mrna	0.069	No mitochondrial presequence	14(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GP.Contig38.Fgenesh_Aspergillus.3.final_new_mrna	0.000	No mitochondrial presequence	40(MPP)	0.050		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.eannot.1153.final_new_mrna	0.090	No mitochondrial presequence	20(MPP)	0.100	17-21	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.96.final_new_mrna	0.000	No mitochondrial presequence	11(MPP)	0.000	28-32	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.Fgenesh_histo.14.final_new_mrna	0.185	No mitochondrial presequence	30(MPP), 38(Oct1)	0.233	27-31	10-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_histo.77.final_new_mrna	0.007	No mitochondrial presequence	49(MPP), 50(Icp55)	0.082		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.eannot.1686.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	-0.087		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_Aspergillus.79.final_new_mrna	0.076	No mitochondrial presequence	12(MPP), 20(Oct1)	0.083	19-23	19-28-low	11-16	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.144.final_new_mrna	0.015	No mitochondrial presequence	34(MPP)	0.059	15-19,31-35	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	15-20	-	
HISTO_DM.Contig93-snap.160.final_new_mrna	0.000	No mitochondrial presequence	29(MPP)	0.069	63-67	1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Aspergillus.135.final_new_mrna	0.018	No mitochondrial presequence	76(MPP)	-0.013		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.67.final_new_mrna	0.016	No mitochondrial presequence	21(MPP)	-0.048	45-49	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Neurospora.8.final_new_mrna	0.020	No mitochondrial presequence	20(MPP)	0.100		2-11-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_histo.25.final_new_mrna	0.014	No mitochondrial presequence	61(MPP), 62(Icp55)	0.049	24-28	20-30-high	-	-	-	-	24-29	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1641.final_new_mrna	0.197	No mitochondrial presequence	14(MPP)	0.143	59-63	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.Fgenesh_histo.71.final_new_mrna	0.000	No mitochondrial presequence	53(MPP)	0.038		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Neurospora.176.final_new_mrna	0.006	No mitochondrial presequence	21(MPP)	0.143	1-5,4-8	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.eannot.1769.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.077		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.eannot.1549.final_new_mrna	0.104	No mitochondrial presequence	21(MPP)	0.238		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.76.final_new_mrna	0.186	No mitochondrial presequence	75(MPP)	0.213		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig3-snap.1.final_new_mrna	0.000	No mitochondrial presequence	27(MPP)	-0.111		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.eannot.1472.final_new_mrna	0.054	No mitochondrial presequence	17(MPP), 18(Icp55)	0.118		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457-snap.88.final_new_mrna	0.144	No mitochondrial presequence	13(MPP)	0.231	33-37	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
